Location_ID,Name,Class,Type,CD,Region,Slug,Latitude,Longitude,CoordSrc,Population_2021,PopSrc,SEO_Score,Defer_Reason
"MB-UNP-firdale","Firdale",COMMUNITY,"Community",08,Central Plains,firdale,49.98222,-99.10972,CGN,,"",35.1,"no grounded population"
"MB-UNP-glossop","Glossop",COMMUNITY,"Unincorporated Community",15,Westman,glossop,50.38000,-100.29889,CGN,,"",35.1,"no grounded population"
"MB-UNP-hazel","Hazel",COMMUNITY,"Unincorporated Community",01,Eastman,hazel,49.87861,-96.24722,CGN,,"",35.1,"no grounded population"
"MB-UNP-lobbville","Lobbville",COMMUNITY,"Unincorporated Community",15,Westman,lobbville,50.12500,-99.19167,CGN,,"",35.1,"no grounded population"
"MB-UNP-mcconnell","McConnell",COMMUNITY,"Community",15,Westman,mcconnell,50.26833,-100.52861,CGN,,"",35.1,"no grounded population"
"MB-UNP-melnice","Melnice",COMMUNITY,"Unincorporated Community",13,Interlake,melnice,50.44667,-97.04306,CGN,,"",35.1,"no grounded population"
"MB-UNP-norris-lake","Norris Lake",COMMUNITY,"Unincorporated Community",14,Interlake,norris-lake,50.44833,-97.39611,CGN,,"",35.1,"no grounded population"
"MB-UNP-oakville","Oakville",COMMUNITY,"Local Urban District",09,Central Plains,oakville,49.92944,-98.00389,CGN,,"",35.1,"no grounded population"
"MB-UNP-pleasant-home","Pleasant Home",COMMUNITY,"Unincorporated Community",14,Interlake,pleasant-home,50.46556,-97.15917,CGN,,"",35.1,"no grounded population"
"MB-UNP-polonia","Polonia",COMMUNITY,"Community",15,Westman,polonia,50.38889,-99.62000,CGN,,"",35.1,"no grounded population"
"MB-UNP-pope","Pope",COMMUNITY,"Community",15,Westman,pope,50.11361,-100.72722,CGN,,"",35.1,"no grounded population"
"MB-UNP-poplar-point","Poplar Point",COMMUNITY,"Community",14,Interlake,poplar-point,50.05694,-97.97667,CGN,,"",35.1,"no grounded population"
"MB-UNP-regent","Regent",COMMUNITY,"Community",06,Westman,regent,49.34083,-100.31194,CGN,,"",35.1,"no grounded population"
"MB-UNP-sarto","Sarto",COMMUNITY,"Community",02,Eastman,sarto,49.39972,-96.74361,CGN,,"",35.1,"no grounded population"
"MB-UNP-scanterbury","Scanterbury",COMMUNITY,"Unincorporated Community",13,Interlake,scanterbury,50.37222,-96.62500,CGN,,"",35.1,"no grounded population"
"MB-UNP-seddons-corner","Seddons Corner",COMMUNITY,"Community",12,Eastman,seddons-corner,50.06194,-96.29083,CGN,,"",35.1,"no grounded population"
"MB-UNP-sidney","Sidney",COMMUNITY,"Community",08,Central Plains,sidney,49.90000,-99.07889,CGN,,"",35.1,"no grounded population"
"MB-UNP-ste-elizabeth","Ste. Elizabeth",COMMUNITY,"Community",03,Pembina Valley,ste-elizabeth,49.34000,-97.18778,CGN,,"",35.1,"no grounded population"
"MB-UNP-strathcona-park","Strathcona Park",COMMUNITY,"Unincorporated Community",05,Westman,strathcona-park,49.33611,-99.53861,CGN,,"",35.1,"no grounded population"
"MB-UNP-whytewold","Whytewold",COMMUNITY,"Unincorporated Community",13,Interlake,whytewold,50.45139,-96.95389,CGN,,"",35.1,"no grounded population"
"MB-UNP-allegra","Allegra",COMMUNITY,"Unincorporated Community",13,Interlake,allegra,50.20889,-96.36000,CGN,,"",35,"no grounded population"
"MB-UNP-arden","Arden",COMMUNITY,"Local Urban District",15,Westman,arden,50.27722,-99.26972,CGN,,"",35,"no grounded population"
"MB-UNP-arizona","Arizona",COMMUNITY,"Unincorporated Community",08,Central Plains,arizona,49.82833,-99.02778,CGN,,"",35,"no grounded population"
"MB-UNP-assiniboine-gardens","Assiniboine Gardens",NEIGHBORHOOD,"Neighborhood",07,Westman,assiniboine-gardens,49.85222,-99.95056,CGN,,"",35,"no grounded population"
"MB-UNP-barkfield","Barkfield",COMMUNITY,"Community",02,Eastman,barkfield,49.33278,-96.80444,CGN,,"",35,"no grounded population"
"MB-UNP-centennial","Centennial",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,centennial,49.90500,-97.15472,CGN,,"",35,"no grounded population"
"MB-UNP-downtown","Downtown",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,downtown,49.89111,-97.13972,CGN,,"",35,"no grounded population"
"MB-UNP-eden","Eden",COMMUNITY,"Community",15,Westman,eden,50.37639,-99.46944,CGN,,"",35,"no grounded population"
"MB-UNP-elm-creek","Elm Creek",COMMUNITY,"Local Urban District",09,Central Plains,elm-creek,49.67556,-97.99250,CGN,,"",35,"no grounded population"
"MB-UNP-findlay","Findlay",COMMUNITY,"Unincorporated Community",06,Westman,findlay,49.56806,-100.75750,CGN,,"",35,"no grounded population"
"MB-UNP-grande-clairiere","Grande-Clairière",COMMUNITY,"Unincorporated Community",06,Westman,grande-clairiere,49.50500,-100.70306,CGN,,"",35,"no grounded population"
"MB-UNP-greenwald","Greenwald",COMMUNITY,"Unincorporated Community",13,Interlake,greenwald,50.31139,-96.47944,CGN,,"",35,"no grounded population"
"MB-UNP-grund","Grund",COMMUNITY,"Unincorporated Community",04,Pembina Valley,grund,49.45917,-99.26750,CGN,,"",35,"no grounded population"
"MB-UNP-harperville","Harperville",COMMUNITY,"Unincorporated Community",18,Interlake,harperville,50.40417,-97.67083,CGN,,"",35,"no grounded population"
"MB-UNP-helston","Helston",COMMUNITY,"Community",15,Westman,helston,50.13028,-99.10889,CGN,,"",35,"no grounded population"
"MB-UNP-homewood","Homewood",COMMUNITY,"Community",03,Pembina Valley,homewood,49.50861,-97.86417,CGN,,"",35,"no grounded population"
"MB-UNP-lake-francis","Lake Francis",COMMUNITY,"Community",18,Interlake,lake-francis,50.30083,-97.80611,CGN,,"",35,"no grounded population"
"MB-UNP-larkhall","Larkhall",COMMUNITY,"Unincorporated Community",01,Eastman,larkhall,49.78111,-96.20528,CGN,,"",35,"no grounded population"
"MB-UNP-lord-selkirk-park","Lord Selkirk Park",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,lord-selkirk-park,49.91000,-97.13806,CGN,,"",35,"no grounded population"
"MB-UNP-lowe-farm","Lowe Farm",COMMUNITY,"Community",03,Pembina Valley,lowe-farm,49.35472,-97.58889,CGN,,"",35,"no grounded population"
"MB-UNP-newton","Newton",COMMUNITY,"Community",09,Central Plains,newton,49.92750,-98.07806,CGN,,"",35,"no grounded population"
"MB-UNP-north-st-boniface","North St. Boniface",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,north-st-boniface,49.89722,-97.11778,CGN,,"",35,"no grounded population"
"MB-UNP-ozerna","Ozerna",COMMUNITY,"Unincorporated Community",15,Westman,ozerna,50.43083,-100.09278,CGN,,"",35,"no grounded population"
"MB-UNP-ponemah","Ponemah",COMMUNITY,"Unincorporated Community",13,Interlake,ponemah,50.46917,-96.95694,CGN,,"",35,"no grounded population"
"MB-UNP-rolling-river","Rolling River",COMMUNITY,"Community",15,Westman,rolling-river,50.45556,-99.98611,CGN,,"",35,"no grounded population"
"MB-UNP-smiths","Smiths",COMMUNITY,"Unincorporated Community",03,Pembina Valley,smiths,49.35389,-97.50167,CGN,,"",35,"no grounded population"
"MB-UNP-south-point-douglas","South Point Douglas",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,south-point-douglas,49.90278,-97.12306,CGN,,"",35,"no grounded population"
"MB-UNP-trentham","Trentham",COMMUNITY,"Unincorporated Community",02,Eastman,trentham,49.38889,-96.66750,CGN,,"",35,"no grounded population"
"MB-UNP-wingham","Wingham",COMMUNITY,"Unincorporated Community",09,Central Plains,wingham,49.76944,-98.05139,CGN,,"",35,"no grounded population"
"MB-UNP-worby","Worby",COMMUNITY,"Unincorporated Community",08,Central Plains,worby,49.81333,-99.02944,CGN,,"",35,"no grounded population"
"MB-UNP-armstrongs-point","Armstrongs Point",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,armstrongs-point,49.87694,-97.15611,CGN,,"",34.9,"no grounded population"
"MB-UNP-assiniview-park","Assiniview Park",NEIGHBORHOOD,"Neighborhood",07,Westman,assiniview-park,49.84861,-99.97917,CGN,,"",34.9,"no grounded population"
"MB-UNP-baragar","Baragar",NEIGHBORHOOD,"Neighborhood",07,Westman,baragar,49.87111,-99.91583,CGN,,"",34.9,"no grounded population"
"MB-UNP-barnsley","Barnsley",COMMUNITY,"Unincorporated Community",03,Pembina Valley,barnsley,49.59194,-97.99000,CGN,,"",34.9,"no grounded population"
"MB-UNP-belleview","Belleview",COMMUNITY,"Community",06,Westman,belleview,49.60472,-100.85667,CGN,,"",34.9,"no grounded population"
"MB-UNP-boundary-park","Boundary Park",COMMUNITY,"Unincorporated Community",18,Interlake,boundary-park,50.51417,-96.97417,CGN,,"",34.9,"no grounded population"
"MB-UNP-braeside","Braeside",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,braeside,49.91083,-97.08000,CGN,,"",34.9,"no grounded population"
"MB-UNP-bronx","Bronx",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,bronx,49.91278,-97.11222,CGN,,"",34.9,"no grounded population"
"MB-UNP-city-centre","City Centre",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,city-centre,49.87611,-97.16389,CGN,,"",34.9,"no grounded population"
"MB-UNP-crandall","Crandall",COMMUNITY,"Community",15,Westman,crandall,50.15000,-100.78444,CGN,,"",34.9,"no grounded population"
"MB-UNP-crescentwood","Crescentwood",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,crescentwood,49.86722,-97.16250,CGN,,"",34.9,"no grounded population"
"MB-UNP-cypress-river","Cypress River",COMMUNITY,"Local Urban District",08,Central Plains,cypress-river,49.55583,-99.08667,CGN,,"",34.9,"no grounded population"
"MB-UNP-dand","Dand",COMMUNITY,"Community",05,Westman,dand,49.34000,-100.50000,CGN,,"",34.9,"no grounded population"
"MB-UNP-dennis-lake","Dennis Lake",COMMUNITY,"Unincorporated Community",14,Interlake,dennis-lake,50.52139,-97.36639,CGN,,"",34.9,"no grounded population"
"MB-UNP-east-elmwood","East Elmwood",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,east-elmwood,49.90333,-97.08111,CGN,,"",34.9,"no grounded population"
"MB-UNP-east-end","East End",NEIGHBORHOOD,"Neighborhood",07,Westman,east-end,49.84500,-99.91889,CGN,,"",34.9,"no grounded population"
"MB-UNP-east-end-industrial-park","East End Industrial Park",NEIGHBORHOOD,"Neighborhood",07,Westman,east-end-industrial-park,49.83444,-99.92333,CGN,,"",34.9,"no grounded population"
"MB-UNP-east-kildonan","East Kildonan",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,east-kildonan,49.92222,-97.10056,CGN,,"",34.9,"no grounded population"
"MB-UNP-elm-park","Elm Park",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,elm-park,49.85500,-97.11694,CGN,,"",34.9,"no grounded population"
"MB-UNP-elmwood","Elmwood",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,elmwood,49.90889,-97.09500,CGN,,"",34.9,"no grounded population"
"MB-UNP-fort-rouge","Fort Rouge",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,fort-rouge,49.86667,-97.15000,CGN,,"",34.9,"no grounded population"
"MB-UNP-glenlawn","Glenlawn",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,glenlawn,49.86167,-97.10556,CGN,,"",34.9,"no grounded population"
"MB-UNP-glenmoor","Glenmoor",COMMUNITY,"Unincorporated Community",13,Interlake,glenmoor,50.31194,-96.42111,CGN,,"",34.9,"no grounded population"
"MB-UNP-grant-park","Grant Park",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,grant-park,49.85583,-97.16278,CGN,,"",34.9,"no grounded population"
"MB-UNP-greenacres","Greenacres",NEIGHBORHOOD,"Neighborhood",07,Westman,greenacres,49.83028,-99.93417,CGN,,"",34.9,"no grounded population"
"MB-UNP-hamilton-heights","Hamilton Heights",NEIGHBORHOOD,"Neighborhood",07,Westman,hamilton-heights,49.87889,-99.97306,CGN,,"",34.9,"no grounded population"
"MB-UNP-highland-park","Highland Park",NEIGHBORHOOD,"Neighborhood",07,Westman,highland-park,49.87889,-99.94972,CGN,,"",34.9,"no grounded population"
"MB-UNP-hilltop","Hilltop",COMMUNITY,"Unincorporated Community",15,Westman,hilltop,50.46972,-99.81333,CGN,,"",34.9,"no grounded population"
"MB-UNP-kingston-crescent","Kingston Crescent",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,kingston-crescent,49.85333,-97.12889,CGN,,"",34.9,"no grounded population"
"MB-UNP-kirkcaldy-heights","Kirkcaldy Heights",NEIGHBORHOOD,"Neighborhood",07,Westman,kirkcaldy-heights,49.86528,-99.94972,CGN,,"",34.9,"no grounded population"
"MB-UNP-komarno","Komarno",COMMUNITY,"Community",14,Interlake,komarno,50.50667,-97.25056,CGN,,"",34.9,"no grounded population"
"MB-UNP-larkhill","Larkhill",NEIGHBORHOOD,"Neighborhood",07,Westman,larkhill,49.83889,-99.97861,CGN,,"",34.9,"no grounded population"
"MB-UNP-lavinia","Lavinia",COMMUNITY,"Community",15,Westman,lavinia,50.27444,-100.66806,CGN,,"",34.9,"no grounded population"
"MB-UNP-linden-lanes","Linden Lanes",NEIGHBORHOOD,"Neighborhood",07,Westman,linden-lanes,49.83056,-99.97861,CGN,,"",34.9,"no grounded population"
"MB-UNP-lowland","Lowland",COMMUNITY,"Unincorporated Community",13,Interlake,lowland,50.25278,-96.35111,CGN,,"",34.9,"no grounded population"
"MB-UNP-maginot","Maginot",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,maginot,49.87250,-97.08278,CGN,,"",34.9,"no grounded population"
"MB-UNP-maples","Maples",COMMUNITY,"Unincorporated Community",06,Westman,maples,49.80139,-100.94611,CGN,,"",34.9,"no grounded population"
"MB-UNP-milner-ridge","Milner Ridge",COMMUNITY,"Community",01,Eastman,milner-ridge,50.17167,-96.23861,CGN,,"",34.9,"no grounded population"
"MB-UNP-mountain-road","Mountain Road",COMMUNITY,"Unincorporated Community",15,Westman,mountain-road,50.44556,-99.65500,CGN,,"",34.9,"no grounded population"
"MB-UNP-ninga","Ninga",COMMUNITY,"Local Urban District",05,Westman,ninga,49.22750,-99.88944,CGN,,"",34.9,"no grounded population"
"MB-UNP-north-end","North End",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,north-end,49.91472,-97.15028,CGN,,"",34.9,"no grounded population"
"MB-UNP-north-point-douglas","North Point Douglas",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,north-point-douglas,49.90889,-97.12833,CGN,,"",34.9,"no grounded population"
"MB-UNP-north-river-heights","North River Heights",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,north-river-heights,49.86889,-97.18444,CGN,,"",34.9,"no grounded population"
"MB-UNP-norwood","Norwood",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,norwood,49.87667,-97.11972,CGN,,"",34.9,"no grounded population"
"MB-UNP-norwood-east","Norwood East",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,norwood-east,49.87778,-97.11222,CGN,,"",34.9,"no grounded population"
"MB-UNP-norwood-west","Norwood West",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,norwood-west,49.87500,-97.12667,CGN,,"",34.9,"no grounded population"
"MB-UNP-pansy","Pansy",COMMUNITY,"Unincorporated Community",02,Eastman,pansy,49.32611,-96.71389,CGN,,"",34.9,"no grounded population"
"MB-UNP-parkdale-heights","Parkdale Heights",NEIGHBORHOOD,"Neighborhood",07,Westman,parkdale-heights,49.82389,-99.97806,CGN,,"",34.9,"no grounded population"
"MB-UNP-patricia-beach","Patricia Beach",COMMUNITY,"Unincorporated Community",13,Interlake,patricia-beach,50.42639,-96.60361,CGN,,"",34.9,"no grounded population"
"MB-UNP-pine-creek-station","Pine Creek Station",COMMUNITY,"Unincorporated Community",08,Central Plains,pine-creek-station,50.03111,-99.00056,CGN,,"",34.9,"no grounded population"
"MB-UNP-point-douglas","Point Douglas",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,point-douglas,49.90361,-97.11917,CGN,,"",34.9,"no grounded population"
"MB-UNP-portage-junction","Portage Junction",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,portage-junction,49.85222,-97.15389,CGN,,"",34.9,"no grounded population"
"MB-UNP-richmond-park","Richmond Park",NEIGHBORHOOD,"Neighborhood",07,Westman,richmond-park,49.82389,-99.96722,CGN,,"",34.9,"no grounded population"
"MB-UNP-river-heights","River Heights",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,river-heights,49.86417,-97.18889,CGN,,"",34.9,"no grounded population"
"MB-UNP-riverheights","Riverheights",NEIGHBORHOOD,"Neighborhood",07,Westman,riverheights,49.84528,-99.99194,CGN,,"",34.9,"no grounded population"
"MB-UNP-riverview","Riverview",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,riverview,49.86194,-97.13111,CGN,,"",34.9,"no grounded population"
"MB-UNP-roslyn","Roslyn",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,roslyn,49.87833,-97.15139,CGN,,"",34.9,"no grounded population"
"MB-UNP-sandy-hook-golf-course","Sandy Hook Golf Course",COMMUNITY,"Community",18,Interlake,sandy-hook-golf-course,50.52889,-96.99333,CGN,,"",34.9,"no grounded population"
"MB-UNP-sargent-park","Sargent Park",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,sargent-park,49.90028,-97.18250,CGN,,"",34.9,"no grounded population"
"MB-UNP-shaughnessy-heights","Shaughnessy Heights",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,shaughnessy-heights,49.92861,-97.17472,CGN,,"",34.9,"no grounded population"
"MB-UNP-st-boniface-industrial-area","St. Boniface Industrial Area",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,st-boniface-industrial-area,49.88611,-97.08722,CGN,,"",34.9,"no grounded population"
"MB-UNP-st-james-industrial-area","St. James Industrial Area",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,st-james-industrial-area,49.90861,-97.20417,CGN,,"",34.9,"no grounded population"
"MB-UNP-st-johns","St. Johns",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,st-johns,49.92500,-97.13333,CGN,,"",34.9,"no grounded population"
"MB-UNP-stony-point","Stony Point",COMMUNITY,"Unincorporated Community",13,Interlake,stony-point,50.41389,-96.61669,CGN,,"",34.9,"no grounded population"
"MB-UNP-strathclair","Strathclair",COMMUNITY,"Local Urban District",15,Westman,strathclair,50.40472,-100.39667,CGN,,"",34.9,"no grounded population"
"MB-UNP-thalberg","Thalberg",COMMUNITY,"Community",13,Interlake,thalberg,50.37028,-96.48972,CGN,,"",34.9,"no grounded population"
"MB-UNP-trinity-park","Trinity Park",NEIGHBORHOOD,"Neighborhood",07,Westman,trinity-park,49.82000,-99.95028,CGN,,"",34.9,"no grounded population"
"MB-UNP-valleyview","Valleyview",NEIGHBORHOOD,"Neighborhood",07,Westman,valleyview,49.84500,-99.98028,CGN,,"",34.9,"no grounded population"
"MB-UNP-waverley","Waverley",NEIGHBORHOOD,"Neighborhood",07,Westman,waverley,49.83722,-99.99028,CGN,,"",34.9,"no grounded population"
"MB-UNP-west-elmwood","West Elmwood",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,west-elmwood,49.91472,-97.11944,CGN,,"",34.9,"no grounded population"
"MB-UNP-west-end","West End",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,west-end,49.89472,-97.17222,CGN,,"",34.9,"no grounded population"
"MB-UNP-weston","Weston",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,weston,49.91611,-97.19000,CGN,,"",34.9,"no grounded population"
"MB-UNP-westview","Westview",NEIGHBORHOOD,"Neighborhood",07,Westman,westview,49.83000,-99.99000,CGN,,"",34.9,"no grounded population"
"MB-UNP-whittier","Whittier",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,whittier,49.89917,-97.11361,CGN,,"",34.9,"no grounded population"
"MB-UNP-wolseley","Wolseley",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,wolseley,49.88167,-97.17389,CGN,,"",34.9,"no grounded population"
"MB-UNP-all-seasons-estates","All Seasons Estates",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,all-seasons-estates,49.93667,-97.04944,CGN,,"",34.8,"no grounded population"
"MB-UNP-arnaud","Arnaud",COMMUNITY,"Community",02,Eastman,arnaud,49.25028,-97.10389,CGN,,"",34.8,"no grounded population"
"MB-UNP-baldur","Baldur",COMMUNITY,"Local Urban District",04,Pembina Valley,baldur,49.38528,-99.24389,CGN,,"",34.8,"no grounded population"
"MB-UNP-beach-junction","Beach Junction",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,beach-junction,49.88917,-97.06528,CGN,,"",34.8,"no grounded population"
"MB-UNP-beaconia","Beaconia",COMMUNITY,"Community",01,Eastman,beaconia,50.44556,-96.55750,CGN,,"",34.8,"no grounded population"
"MB-UNP-beaumont","Beaumont",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,beaumont,49.84472,-97.15917,CGN,,"",34.8,"no grounded population"
"MB-UNP-bright-oaks","Bright Oaks",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,bright-oaks,49.82639,-97.11806,CGN,,"",34.8,"no grounded population"
"MB-UNP-brooklands","Brooklands",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,brooklands,49.92083,-97.20000,CGN,,"",34.8,"no grounded population"
"MB-UNP-carlowrie","Carlowrie",COMMUNITY,"Community",02,Eastman,carlowrie,49.25194,-96.96194,CGN,,"",34.8,"no grounded population"
"MB-UNP-contour","Contour",COMMUNITY,"Unincorporated Community",01,Eastman,contour,49.87778,-96.11250,CGN,,"",34.8,"no grounded population"
"MB-UNP-crescent-park","Crescent Park",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,crescent-park,49.83778,-97.14250,CGN,,"",34.8,"no grounded population"
"MB-UNP-curtis","Curtis",COMMUNITY,"Unincorporated Community",09,Central Plains,curtis,49.94139,-98.14556,CGN,,"",34.8,"no grounded population"
"MB-UNP-elk-ranch","Elk Ranch",COMMUNITY,"Unincorporated Community",15,Westman,elk-ranch,50.44694,-99.57139,CGN,,"",34.8,"no grounded population"
"MB-UNP-exira","Exira",COMMUNITY,"Unincorporated Community",08,Central Plains,exira,49.98222,-98.96139,CGN,,"",34.8,"no grounded population"
"MB-UNP-foley","Foley",COMMUNITY,"Unincorporated Community",18,Interlake,foley,50.54722,-97.09139,CGN,,"",34.8,"no grounded population"
"MB-UNP-fort-garry","Fort Garry",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,fort-garry,49.84139,-97.15000,CGN,,"",34.8,"no grounded population"
"MB-UNP-fort-garry-industrial-park","Fort Garry Industrial Park",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,fort-garry-industrial-park,49.82667,-97.16417,CGN,,"",34.8,"no grounded population"
"MB-UNP-garden-city","Garden City",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,garden-city,49.94278,-97.14472,CGN,,"",34.8,"no grounded population"
"MB-UNP-garden-grove","Garden Grove",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,garden-grove,49.94222,-97.21500,CGN,,"",34.8,"no grounded population"
"MB-UNP-gull-lake","Gull Lake",COMMUNITY,"Unincorporated Community",13,Interlake,gull-lake,50.40612,-96.51947,CGN,,"",34.8,"no grounded population"
"MB-UNP-harbour-view-south","Harbour View South",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,harbour-view-south,49.91917,-97.03528,CGN,,"",34.8,"no grounded population"
"MB-UNP-high-bluff","High Bluff",COMMUNITY,"Community",09,Central Plains,high-bluff,50.01889,-98.14806,CGN,,"",34.8,"no grounded population"
"MB-UNP-husavik","Husavik",COMMUNITY,"Unincorporated Community",18,Interlake,husavik,50.56306,-96.99278,CGN,,"",34.8,"no grounded population"
"MB-UNP-inkster-industrial-park","Inkster Industrial Park",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,inkster-industrial-park,49.93667,-97.17556,CGN,,"",34.8,"no grounded population"
"MB-UNP-inwood","Inwood",COMMUNITY,"Community",18,Interlake,inwood,50.50639,-97.49556,CGN,,"",34.8,"no grounded population"
"MB-UNP-ipswich","Ipswich",COMMUNITY,"Unincorporated Community",15,Westman,ipswich,50.41833,-100.48083,CGN,,"",34.8,"no grounded population"
"MB-UNP-island-beach","Island Beach",COMMUNITY,"Unincorporated Community",01,Eastman,island-beach,50.46000,-96.57333,CGN,,"",34.8,"no grounded population"
"MB-UNP-kane","Kane",COMMUNITY,"Community",03,Pembina Valley,kane,49.35444,-97.72722,CGN,,"",34.8,"no grounded population"
"MB-UNP-keyes","Keyes",COMMUNITY,"Community",15,Westman,keyes,50.24194,-99.12194,CGN,,"",34.8,"no grounded population"
"MB-UNP-kildonan","Kildonan",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,kildonan,49.95000,-97.10000,CGN,,"",34.8,"no grounded population"
"MB-UNP-lakeside-meadows","Lakeside Meadows",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,lakeside-meadows,49.90861,-97.02722,CGN,,"",34.8,"no grounded population"
"MB-UNP-lauder","Lauder",COMMUNITY,"Community",05,Westman,lauder,49.39056,-100.67694,CGN,,"",34.8,"no grounded population"
"MB-UNP-layland","Layland",COMMUNITY,"Community",09,Central Plains,layland,49.80083,-98.17028,CGN,,"",34.8,"no grounded population"
"MB-UNP-linden-woods","Linden Woods",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,linden-woods,49.83417,-97.19111,CGN,,"",34.8,"no grounded population"
"MB-UNP-lord-selkirk","Lord Selkirk",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,lord-selkirk,49.94583,-97.20639,CGN,,"",34.8,"no grounded population"
"MB-UNP-mandalay-west","Mandalay West",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,mandalay-west,49.95667,-97.18806,CGN,,"",34.8,"no grounded population"
"MB-UNP-marchand","Marchand",COMMUNITY,"Community",02,Eastman,marchand,49.44444,-96.38611,CGN,,"",34.8,"no grounded population"
"MB-UNP-margaret-park","Margaret Park",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,margaret-park,49.94889,-97.11528,CGN,,"",34.8,"no grounded population"
"MB-UNP-maybank","Maybank",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,maybank,49.83528,-97.15583,CGN,,"",34.8,"no grounded population"
"MB-UNP-mayfeld","Mayfeld",COMMUNITY,"Community",08,Central Plains,mayfeld,50.11833,-98.99944,CGN,,"",34.8,"no grounded population"
"MB-UNP-meadowood","Meadowood",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,meadowood,49.83139,-97.09889,CGN,,"",34.8,"no grounded population"
"MB-UNP-meadows-west","Meadows West",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,meadows-west,49.95028,-97.20000,CGN,,"",34.8,"no grounded population"
"MB-UNP-mission-gardens","Mission Gardens",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,mission-gardens,49.89139,-97.04083,CGN,,"",34.8,"no grounded population"
"MB-UNP-moss-spur","Moss Spur",COMMUNITY,"Unincorporated Community",01,Eastman,moss-spur,49.98806,-96.13417,CGN,,"",34.8,"no grounded population"
"MB-UNP-niakwa-park","Niakwa Park",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,niakwa-park,49.85917,-97.09000,CGN,,"",34.8,"no grounded population"
