Location_ID,Location_Name,Type,Region,Pop_2021,Unified_Score,Tier,Bucket,Reason,Fix_Note
ON-0444,Cobden,Locality,Greater Toronto Area,997,49.9,,DEFERRED_GATE,"unified score 49.9 < 50 — below publish threshold, noindex",
ON-0445,Consecon,Locality,Greater Toronto Area,912,49.6,,DEFERRED_GATE,"unified score 49.6 < 50 — below publish threshold, noindex",
ON-0446,Courtright,Locality,Greater Toronto Area,863,49.6,,DEFERRED_GATE,"unified score 49.6 < 50 — below publish threshold, noindex",
ON-0447,Creemore,Locality,Greater Toronto Area,798,49.4,,DEFERRED_GATE,"unified score 49.4 < 50 — below publish threshold, noindex",
ON-0448,Drayton,Locality,Greater Toronto Area,684,49.2,,DEFERRED_GATE,"unified score 49.2 < 50 — below publish threshold, noindex",
ON-0449,Eganville,Locality,Greater Toronto Area,1165,50.9,,DEFERRED_THIN,"boilerplate-only grounding, pop 1165 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0450,Ethel,Locality,Greater Toronto Area,711,49.2,,DEFERRED_GATE,"unified score 49.2 < 50 — below publish threshold, noindex",
ON-0451,Eugenia,Locality,Greater Toronto Area,1330,51,,DEFERRED_THIN,"boilerplate-only grounding, pop 1330 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0452,Glen Morris,Locality,Greater Toronto Area,1064,50.6,,DEFERRED_THIN,"boilerplate-only grounding, pop 1064 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0453,Guelph Eramosa,Locality,Greater Toronto Area,754,49.2,,DEFERRED_DUP,"ghost duplicate of ON-0110 Guelph/Eramosa (synthetic GTA region, Toronto FSA/coords); Census CSD row wins",
ON-0454,Heathcote,Locality,Greater Toronto Area,1217,50.7,,DEFERRED_THIN,"boilerplate-only grounding, pop 1217 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0455,Kingston Mills,Locality,Greater Toronto Area,698,49.3,,DEFERRED_GATE,"unified score 49.3 < 50 — below publish threshold, noindex",
ON-0456,Kingsvillle,Locality,Greater Toronto Area,1052,50.5,,DEFERRED_THIN,"boilerplate-only grounding, pop 1052 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0457,Lang,Locality,Greater Toronto Area,1423,51,,DEFERRED_THIN,"boilerplate-only grounding, pop 1423 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0458,Loring,Locality,Greater Toronto Area,613,49.4,,DEFERRED_GATE,"unified score 49.4 < 50 — below publish threshold, noindex",
ON-0459,Lyndhurst,Locality,Greater Toronto Area,888,50,,DEFERRED_THIN,"boilerplate-only grounding, pop 888 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0460,McGregor,Locality,Greater Toronto Area,798,49.1,,DEFERRED_GATE,"unified score 49.1 < 50 — below publish threshold, noindex",
ON-0461,Milverton,Locality,Greater Toronto Area,1074,50.3,,DEFERRED_THIN,"boilerplate-only grounding, pop 1074 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0462,Moorefield,Locality,Greater Toronto Area,1187,50.9,,DEFERRED_THIN,"boilerplate-only grounding, pop 1187 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0463,Newboro,Locality,Greater Toronto Area,755,49.2,,DEFERRED_GATE,"unified score 49.2 < 50 — below publish threshold, noindex",
ON-0464,Newington,Locality,Greater Toronto Area,692,49.3,,DEFERRED_GATE,"unified score 49.3 < 50 — below publish threshold, noindex",
ON-0465,Nobleton,Locality,Greater Toronto Area,1029,50.4,,DEFERRED_THIN,"boilerplate-only grounding, pop 1029 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0466,Amherstburg,Town,Windsor-Essex,23524,56.9,B,BUILT_VERIFIED,,
ON-0467,Ashfield–Colborne–Wawanosh,Township,Southwestern Ontario,5884,57.7,C,BUILT_VERIFIED,,
ON-0468,Augusta,Township,Eastern Ontario,7386,57.9,C,BUILT_VERIFIED,,
ON-0469,Brockton,Municipality,Grey-Bruce-Simcoe,9784,59.8,C,BUILT_VERIFIED,,
ON-0470,"Brudenell, Lyndoch and Raglan",Township,Ottawa-Eastern,1552,55.6,,DEFERRED_THIN,"boilerplate-only grounding, pop 1552 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0471,Casselman,Village,Ottawa-Eastern,3960,54.9,,DEFERRED_THIN,"boilerplate-only grounding, pop 3960 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0472,Dutton/Dunwich,Municipality,Southwestern Ontario,4152,56.5,C,BUILT_VERIFIED,,
ON-0473,Dysart et al,Municipality,Central Ontario,7182,59.6,C,BUILT_VERIFIED,,
ON-0474,Edwardsburgh/Cardinal,Township,Eastern Ontario,7505,58.4,C,BUILT_VERIFIED,,
ON-0475,Essex,Town,Windsor-Essex,21216,56.7,B,BUILT_VERIFIED,,
ON-0476,Highlands East,Municipality,Central Ontario,3830,56.5,,DEFERRED_THIN,"boilerplate-only grounding, pop 3830 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0477,Madoc,Township,Eastern Ontario,2233,54.7,,DEFERRED_THIN,"boilerplate-only grounding, pop 2233 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0478,Montague,Township,Eastern Ontario,3914,55,,DEFERRED_THIN,"boilerplate-only grounding, pop 3914 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0479,North Frontenac,Township,Eastern Ontario,2285,55.3,,DEFERRED_THIN,"boilerplate-only grounding, pop 2285 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0480,North Huron,Township,Southwestern Ontario,5052,58.6,C,BUILT_VERIFIED,,
ON-0481,Northern Bruce Peninsula,Municipality,Grey-Bruce-Simcoe,4404,56.5,C,BUILT_NEEDS_REVIEW,,
ON-0482,Perth South,Township,Southwestern Ontario,3776,55.6,,DEFERRED_THIN,"boilerplate-only grounding, pop 3776 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0483,Point Edward,Village,Southwestern Ontario,1930,54.4,,DEFERRED_THIN,"boilerplate-only grounding, pop 1930 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0484,Stirling-Rawdon,Township,Eastern Ontario,5015,58.3,C,BUILT_VERIFIED,,
ON-0485,Tweed,Municipality,Eastern Ontario,6067,59.6,C,BUILT_VERIFIED,,
ON-0486,Tyendinaga,Township,Eastern Ontario,4538,54.8,C,BUILT_VERIFIED,,
ON-0487,West Perth,Municipality,Southwestern Ontario,9038,59.3,C,BUILT_VERIFIED,,
ON-0488,Hillsburgh,Hamlet,Greater Toronto Area,546,48.7,,DEFERRED_GATE,"unified score 48.7 < 50 — below publish threshold, noindex",
ON-0489,Port McNicoll,Hamlet,Greater Toronto Area,650,48.8,,DEFERRED_GATE,"unified score 48.8 < 50 — below publish threshold, noindex",
ON-0490,Waubaushene,Hamlet,Greater Toronto Area,930,48.8,,DEFERRED_GATE,"unified score 48.8 < 50 — below publish threshold, noindex",
ON-0491,Rosseau,Hamlet,Greater Toronto Area,785,48.8,,DEFERRED_GATE,"unified score 48.8 < 50 — below publish threshold, noindex",
ON-0492,Honey Harbour,Hamlet,Greater Toronto Area,906,48.8,,DEFERRED_GATE,"unified score 48.8 < 50 — below publish threshold, noindex",
ON-0493,Vineland,Hamlet,Greater Toronto Area,1122,50,,DEFERRED_THIN,"boilerplate-only grounding, pop 1122 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0494,Fonthill,Hamlet,Greater Toronto Area,553,48.8,,DEFERRED_GATE,"unified score 48.8 < 50 — below publish threshold, noindex",
ON-0495,Ridgeway,Hamlet,Greater Toronto Area,784,48.1,,DEFERRED_GATE,"unified score 48.1 < 50 — below publish threshold, noindex",
ON-0496,Thorold South,Hamlet,Greater Toronto Area,1051,49.8,,DEFERRED_GATE,"unified score 49.8 < 50 — below publish threshold, noindex",
ON-0497,Portland,Hamlet,Greater Toronto Area,685,49,,DEFERRED_GATE,"unified score 49 < 50 — below publish threshold, noindex",
ON-0498,Elgin,Hamlet,Greater Toronto Area,387,48.1,,DEFERRED_GATE,"unified score 48.1 < 50 — below publish threshold, noindex",
ON-0499,Vankleek Hill,Hamlet,Greater Toronto Area,548,48.6,,DEFERRED_GATE,"unified score 48.6 < 50 — below publish threshold, noindex",
ON-0500,Limoges,Hamlet,Greater Toronto Area,765,48.1,,DEFERRED_GATE,"unified score 48.1 < 50 — below publish threshold, noindex",
ON-0501,Lakefield,Hamlet,Greater Toronto Area,813,49,,DEFERRED_GATE,"unified score 49 < 50 — below publish threshold, noindex",
ON-0502,Norwood,Hamlet,Greater Toronto Area,769,48.1,,DEFERRED_GATE,"unified score 48.1 < 50 — below publish threshold, noindex",
ON-0503,Dwight,Hamlet,Greater Toronto Area,946,48.2,,DEFERRED_GATE,"unified score 48.2 < 50 — below publish threshold, noindex",
ON-0504,Port Sydney,Hamlet,Greater Toronto Area,563,49,,DEFERRED_GATE,"unified score 49 < 50 — below publish threshold, noindex",
ON-0505,Flesherton,Hamlet,Greater Toronto Area,940,48.9,,DEFERRED_GATE,"unified score 48.9 < 50 — below publish threshold, noindex",
ON-0506,Port Burwell,Hamlet,Greater Toronto Area,917,49,,DEFERRED_GATE,"unified score 49 < 50 — below publish threshold, noindex",
ON-0507,Rodney,Hamlet,Greater Toronto Area,754,48.8,,DEFERRED_GATE,"unified score 48.8 < 50 — below publish threshold, noindex",
ON-0508,Komoka,Hamlet,Greater Toronto Area,848,48.9,,DEFERRED_GATE,"unified score 48.9 < 50 — below publish threshold, noindex",
ON-0509,Ilderton,Hamlet,Greater Toronto Area,848,48.2,,DEFERRED_GATE,"unified score 48.2 < 50 — below publish threshold, noindex",
ON-0510,Kilworth,Hamlet,Greater Toronto Area,509,48.8,,DEFERRED_GATE,"unified score 48.8 < 50 — below publish threshold, noindex",
ON-0511,Elmira,Hamlet,Greater Toronto Area,459,48.1,,DEFERRED_GATE,"unified score 48.1 < 50 — below publish threshold, noindex",
ON-0512,Harriston,Hamlet,Greater Toronto Area,624,48.1,,DEFERRED_GATE,"unified score 48.1 < 50 — below publish threshold, noindex",
ON-0513,Clifford,Hamlet,Greater Toronto Area,659,48.1,,DEFERRED_GATE,"unified score 48.1 < 50 — below publish threshold, noindex",
ON-0514,Teeswater,Hamlet,Greater Toronto Area,820,48.7,,DEFERRED_GATE,"unified score 48.7 < 50 — below publish threshold, noindex",
ON-0515,Tobermory,Hamlet,Greater Toronto Area,611,48.8,,DEFERRED_GATE,"unified score 48.8 < 50 — below publish threshold, noindex",
ON-0516,Emsdale,Hamlet,Greater Toronto Area,851,48.1,,DEFERRED_GATE,"unified score 48.1 < 50 — below publish threshold, noindex",
ON-0517,Cartier,Hamlet,Greater Toronto Area,854,48.5,,DEFERRED_GATE,"unified score 48.5 < 50 — below publish threshold, noindex",
ON-0518,Desbarats,Hamlet,Greater Toronto Area,596,48.6,,DEFERRED_GATE,"unified score 48.6 < 50 — below publish threshold, noindex",
ON-0519,Nakina,Hamlet,Greater Toronto Area,892,48.1,,DEFERRED_GATE,"unified score 48.1 < 50 — below publish threshold, noindex",
ON-0520,Ridgetown,Hamlet,Greater Toronto Area,934,48.3,,DEFERRED_GATE,"unified score 48.3 < 50 — below publish threshold, noindex",
ON-0521,Thamesville,Hamlet,Greater Toronto Area,831,48.6,,DEFERRED_GATE,"unified score 48.6 < 50 — below publish threshold, noindex",
ON-0522,Florence,Hamlet,Greater Toronto Area,530,48.8,,DEFERRED_GATE,"unified score 48.8 < 50 — below publish threshold, noindex",
ON-0523,Tamworth,Hamlet,Greater Toronto Area,1006,50.1,,DEFERRED_THIN,"boilerplate-only grounding, pop 1006 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0524,Verona,Hamlet,Greater Toronto Area,1032,50,,DEFERRED_THIN,"boilerplate-only grounding, pop 1032 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0525,Young's Point,Hamlet,Greater Toronto Area,530,48.7,,DEFERRED_GATE,"unified score 48.7 < 50 — below publish threshold, noindex",
ON-0526,Coe Hill,Hamlet,Greater Toronto Area,1081,49.8,,DEFERRED_GATE,"unified score 49.8 < 50 — below publish threshold, noindex",
ON-0527,Eldorado,Hamlet,Greater Toronto Area,1066,50,,DEFERRED_THIN,"boilerplate-only grounding, pop 1066 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0528,Aberfoyle,Locality,Greater Toronto Area,910,48.8,,DEFERRED_GATE,"unified score 48.8 < 50 — below publish threshold, noindex",
ON-0529,Achray,Locality,Greater Toronto Area,919,48.5,,DEFERRED_GATE,"unified score 48.5 < 50 — below publish threshold, noindex",
ON-0530,Airy,Locality,Greater Toronto Area,809,48.9,,DEFERRED_GATE,"unified score 48.9 < 50 — below publish threshold, noindex",
ON-0531,Anten Mills,Locality,Greater Toronto Area,777,48.6,,DEFERRED_GATE,"unified score 48.6 < 50 — below publish threshold, noindex",
ON-0532,Bath,Locality,Greater Toronto Area,857,48.4,,DEFERRED_GATE,"unified score 48.4 < 50 — below publish threshold, noindex",
ON-0533,Beachburg,Locality,Greater Toronto Area,665,48.3,,DEFERRED_GATE,"unified score 48.3 < 50 — below publish threshold, noindex",
ON-0534,Beaverton,Locality,Greater Toronto Area,554,48.6,,DEFERRED_GATE,"unified score 48.6 < 50 — below publish threshold, noindex",
ON-0535,Benmiller,Locality,Greater Toronto Area,813,48.2,,DEFERRED_GATE,"unified score 48.2 < 50 — below publish threshold, noindex",
ON-0536,Bethany,Locality,Greater Toronto Area,756,49,,DEFERRED_GATE,"unified score 49 < 50 — below publish threshold, noindex",
ON-0537,Big Chute,Locality,Greater Toronto Area,885,48.1,,DEFERRED_GATE,"unified score 48.1 < 50 — below publish threshold, noindex",
ON-0538,Bornholm,Locality,Greater Toronto Area,883,48.9,,DEFERRED_GATE,"unified score 48.9 < 50 — below publish threshold, noindex",
ON-0539,Boston,Locality,Greater Toronto Area,621,48.1,,DEFERRED_GATE,"unified score 48.1 < 50 — below publish threshold, noindex",
ON-0540,Brinston,Locality,Greater Toronto Area,748,48.2,,DEFERRED_GATE,"unified score 48.2 < 50 — below publish threshold, noindex",
ON-0541,Camlachie,Locality,Greater Toronto Area,678,48.5,,DEFERRED_GATE,"unified score 48.5 < 50 — below publish threshold, noindex",
ON-0542,Copetown,Locality,Greater Toronto Area,888,48.7,,DEFERRED_GATE,"unified score 48.7 < 50 — below publish threshold, noindex",
ON-0543,Courtland,Locality,Greater Toronto Area,426,48.4,,DEFERRED_GATE,"unified score 48.4 < 50 — below publish threshold, noindex",
ON-0544,Demorestville,Locality,Greater Toronto Area,861,48.5,,DEFERRED_GATE,"unified score 48.5 < 50 — below publish threshold, noindex",
ON-0545,Deux Rivieres,Locality,Greater Toronto Area,798,48.9,,DEFERRED_GATE,"unified score 48.9 < 50 — below publish threshold, noindex",
ON-0546,Drumbo,Locality,Greater Toronto Area,939,48.5,,DEFERRED_GATE,"unified score 48.5 < 50 — below publish threshold, noindex",
ON-0547,Dunrobin,Locality,Greater Toronto Area,930,48.2,,DEFERRED_GATE,"unified score 48.2 < 50 — below publish threshold, noindex",
ON-0548,Echo Bay,Locality,Greater Toronto Area,923,48.8,,DEFERRED_GATE,"unified score 48.8 < 50 — below publish threshold, noindex",
ON-0549,Glen Williams,Locality,Greater Toronto Area,1035,49.9,,DEFERRED_GATE,"unified score 49.9 < 50 — below publish threshold, noindex",
ON-0550,Glenelg,Locality,Greater Toronto Area,688,48.3,,DEFERRED_GATE,"unified score 48.3 < 50 — below publish threshold, noindex",
ON-0551,Glenora,Locality,Greater Toronto Area,675,48.2,,DEFERRED_GATE,"unified score 48.2 < 50 — below publish threshold, noindex",
ON-0552,Gloucester,Locality,Greater Toronto Area,500,48.6,,DEFERRED_GATE,"unified score 48.6 < 50 — below publish threshold, noindex",
ON-0553,Gorrie,Locality,Greater Toronto Area,698,48.2,,DEFERRED_GATE,"unified score 48.2 < 50 — below publish threshold, noindex",
ON-0554,Granton,Locality,Greater Toronto Area,902,48.4,,DEFERRED_GATE,"unified score 48.4 < 50 — below publish threshold, noindex",
ON-0555,Harrisburg,Locality,Greater Toronto Area,785,49.1,,DEFERRED_GATE,"unified score 49.1 < 50 — below publish threshold, noindex",
ON-0556,Highgate,Locality,Greater Toronto Area,1063,50,,DEFERRED_THIN,"boilerplate-only grounding, pop 1063 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0557,Jerseyville,Locality,Greater Toronto Area,761,48.5,,DEFERRED_GATE,"unified score 48.5 < 50 — below publish threshold, noindex",
ON-0558,Keewatin,Locality,Greater Toronto Area,988,48.3,,DEFERRED_GATE,"unified score 48.3 < 50 — below publish threshold, noindex",
ON-0559,Kenilworth,Locality,Greater Toronto Area,883,48.6,,DEFERRED_GATE,"unified score 48.6 < 50 — below publish threshold, noindex",
ON-0560,Killbear Park,Locality,Greater Toronto Area,961,48.1,,DEFERRED_GATE,"unified score 48.1 < 50 — below publish threshold, noindex",
ON-0561,Kirkfield,Locality,Greater Toronto Area,882,48.2,,DEFERRED_GATE,"unified score 48.2 < 50 — below publish threshold, noindex",
ON-0562,Little Britain,Locality,Greater Toronto Area,529,48.8,,DEFERRED_GATE,"unified score 48.8 < 50 — below publish threshold, noindex",
ON-0563,Longbow Lake,Locality,Greater Toronto Area,816,49.1,,DEFERRED_GATE,"unified score 49.1 < 50 — below publish threshold, noindex",
ON-0564,Lyons,Locality,Greater Toronto Area,558,49,,DEFERRED_GATE,"unified score 49 < 50 — below publish threshold, noindex",
ON-0565,MacDiarmid,Locality,Greater Toronto Area,880,48.3,,DEFERRED_GATE,"unified score 48.3 < 50 — below publish threshold, noindex",
ON-0566,Merlin,Locality,Greater Toronto Area,865,48.9,,DEFERRED_GATE,"unified score 48.9 < 50 — below publish threshold, noindex",
ON-0567,Mildmay,Locality,Greater Toronto Area,873,48.9,,DEFERRED_GATE,"unified score 48.9 < 50 — below publish threshold, noindex",
ON-0568,Millington,Locality,Greater Toronto Area,487,48.4,,DEFERRED_GATE,"unified score 48.4 < 50 — below publish threshold, noindex",
ON-0569,Nanticoke,Locality,Greater Toronto Area,846,48.7,,DEFERRED_GATE,"unified score 48.7 < 50 — below publish threshold, noindex",
ON-0570,North Gower,Locality,Greater Toronto Area,553,48.2,,DEFERRED_GATE,"unified score 48.2 < 50 — below publish threshold, noindex",
ON-0571,Odessa,Locality,Greater Toronto Area,905,48.2,,DEFERRED_GATE,"unified score 48.2 < 50 — below publish threshold, noindex",
ON-0572,Orono,Locality,Greater Toronto Area,948,48.2,,DEFERRED_GATE,"unified score 48.2 < 50 — below publish threshold, noindex",
ON-0573,Otterville,Locality,Greater Toronto Area,865,48.7,,DEFERRED_GATE,"unified score 48.7 < 50 — below publish threshold, noindex",
ON-0574,Bracondale,Locality,Central Ontario,568,49.7,,DEFERRED_GATE,"unified score 49.7 < 50 — below publish threshold, noindex",
ON-0575,ON,Locality,Central Ontario,752,49,,DEFERRED_GATE,"unified score 49 < 50 — below publish threshold, noindex",
ON-0576,Corbyville,Locality,Ottawa-Eastern,693,49.9,,DEFERRED_GATE,"unified score 49.9 < 50 — below publish threshold, noindex",
ON-0577,Eramosa,Locality,Kitchener-Waterloo,774,49.6,,DEFERRED_GATE,"unified score 49.6 < 50 — below publish threshold, noindex",
ON-0578,Milne,Locality,Central Ontario,672,49.4,,DEFERRED_GATE,"unified score 49.4 < 50 — below publish threshold, noindex",
ON-0579,Heights,Locality,Kitchener-Waterloo,676,49.2,,DEFERRED_GATE,"unified score 49.2 < 50 — below publish threshold, noindex",
ON-0580,Adelaide Metcalfe,Township,Southwestern Ontario,3011,54.4,,DEFERRED_THIN,"boilerplate-only grounding, pop 3011 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0581,Algonquin Highlands,Township,Central Ontario,2588,54.1,,DEFERRED_THIN,"boilerplate-only grounding, pop 2588 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0582,Athens,Township,Eastern Ontario,3042,54.3,,DEFERRED_THIN,"boilerplate-only grounding, pop 3042 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0583,Bluewater,Municipality,Southwestern Ontario,7540,58.7,C,BUILT_VERIFIED,,
ON-0584,Central Huron,Municipality,Southwestern Ontario,7799,59,C,BUILT_VERIFIED,,
ON-0585,Deseronto,Town,Eastern Ontario,1747,52.4,,DEFERRED_THIN,"boilerplate-only grounding, pop 1747 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0586,Enniskillen,Township,Southwestern Ontario,2825,53.8,,DEFERRED_THIN,"boilerplate-only grounding, pop 2825 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0587,Frontenac Islands,Township,Eastern Ontario,1930,53.9,,DEFERRED_THIN,"boilerplate-only grounding, pop 1930 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0588,Hastings Highlands,Municipality,Eastern Ontario,4385,55.5,C,BUILT_NEEDS_REVIEW,,
ON-0589,Howick,Township,Southwestern Ontario,4045,53.6,C,BUILT_NEEDS_REVIEW,,
ON-0590,Leamington,Municipality,Windsor-Essex,29680,58.3,B,BUILT_VERIFIED,,
ON-0591,Lucan Biddulph,Township,Southwestern Ontario,5680,57.3,C,BUILT_VERIFIED,,
ON-0592,Marmora and Lake,Municipality,Eastern Ontario,4267,56,C,BUILT_VERIFIED,,
ON-0593,Morris-Turnberry,Municipality,Southwestern Ontario,3590,55.5,,DEFERRED_THIN,"boilerplate-only grounding, pop 3590 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0594,South Bruce,Municipality,Grey-Bruce-Simcoe,5880,59.2,C,BUILT_VERIFIED,,
ON-0595,Tyendinaga Mohawk Territory,First Nations Reserve,Eastern Ontario,8060,54.8,C,BUILT_NEEDS_REVIEW,,
ON-0596,Curve Lake First Nation,First Nations Reserve,Central Ontario,2400,51.3,,DEFERRED_THIN,"boilerplate-only grounding, pop 2400 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0597,Cookstown,Hamlet,Greater Toronto Area,443,48,,DEFERRED_GATE,"unified score 48 < 50 — below publish threshold, noindex",
ON-0598,Stroud,Hamlet,Greater Toronto Area,500,47.5,,DEFERRED_GATE,"unified score 47.5 < 50 — below publish threshold, noindex",
ON-0599,Minesing,Hamlet,Greater Toronto Area,778,47.8,,DEFERRED_GATE,"unified score 47.8 < 50 — below publish threshold, noindex",
ON-0600,Coldwater,Hamlet,Greater Toronto Area,333,47.1,,DEFERRED_GATE,"unified score 47.1 < 50 — below publish threshold, noindex",
ON-0601,Ridgeville,Hamlet,Greater Toronto Area,841,48,,DEFERRED_GATE,"unified score 48 < 50 — below publish threshold, noindex",
ON-0602,Martintown,Hamlet,Greater Toronto Area,396,47.2,,DEFERRED_GATE,"unified score 47.2 < 50 — below publish threshold, noindex",
ON-0603,Omemee,Hamlet,Greater Toronto Area,496,47.3,,DEFERRED_GATE,"unified score 47.3 < 50 — below publish threshold, noindex",
ON-0604,Walkerton,Hamlet,Greater Toronto Area,817,48,,DEFERRED_GATE,"unified score 48 < 50 — below publish threshold, noindex",
ON-0605,Port Stanley,Hamlet,Greater Toronto Area,372,47.6,,DEFERRED_GATE,"unified score 47.6 < 50 — below publish threshold, noindex",
ON-0606,Baden,Hamlet,Greater Toronto Area,401,47.3,,DEFERRED_GATE,"unified score 47.3 < 50 — below publish threshold, noindex",
ON-0607,Fergus,Hamlet,Greater Toronto Area,555,48,,DEFERRED_GATE,"unified score 48 < 50 — below publish threshold, noindex",
ON-0608,Bothwell,Hamlet,Greater Toronto Area,487,47.2,,DEFERRED_GATE,"unified score 47.2 < 50 — below publish threshold, noindex",
ON-0609,Wallaceburg,Hamlet,Greater Toronto Area,598,48,,DEFERRED_GATE,"unified score 48 < 50 — below publish threshold, noindex",
ON-0610,Maynooth,Hamlet,Greater Toronto Area,295,47.1,,DEFERRED_GATE,"unified score 47.1 < 50 — below publish threshold, noindex",
ON-0611,Buckhorn,Hamlet,Greater Toronto Area,376,48,,DEFERRED_GATE,"unified score 48 < 50 — below publish threshold, noindex",
ON-0612,Queensborough,Hamlet,Greater Toronto Area,501,47.8,,DEFERRED_GATE,"unified score 47.8 < 50 — below publish threshold, noindex",
ON-0613,Alcona,Locality,Greater Toronto Area,356,47.8,,DEFERRED_GATE,"unified score 47.8 < 50 — below publish threshold, noindex",
ON-0614,Ameliasburgh,Locality,Greater Toronto Area,352,48,,DEFERRED_GATE,"unified score 48 < 50 — below publish threshold, noindex",
ON-0615,Ashburn,Locality,Greater Toronto Area,537,47.9,,DEFERRED_GATE,"unified score 47.9 < 50 — below publish threshold, noindex",
ON-0616,Aurora Heights,Locality,Greater Toronto Area,794,47.9,,DEFERRED_GATE,"unified score 47.9 < 50 — below publish threshold, noindex",
ON-0617,Badjeros,Locality,Greater Toronto Area,542,47.6,,DEFERRED_GATE,"unified score 47.6 < 50 — below publish threshold, noindex",
ON-0618,Beeton,Locality,Greater Toronto Area,633,47.8,,DEFERRED_GATE,"unified score 47.8 < 50 — below publish threshold, noindex",
ON-0619,Bellrock,Locality,Greater Toronto Area,447,47.2,,DEFERRED_GATE,"unified score 47.2 < 50 — below publish threshold, noindex",
ON-0620,Bright,Locality,Greater Toronto Area,529,47.1,,DEFERRED_GATE,"unified score 47.1 < 50 — below publish threshold, noindex",
ON-0621,Browns Corners,Locality,Greater Toronto Area,373,47.1,,DEFERRED_GATE,"unified score 47.1 < 50 — below publish threshold, noindex",
ON-0622,Cheapside,Locality,Greater Toronto Area,882,47.9,,DEFERRED_GATE,"unified score 47.9 < 50 — below publish threshold, noindex",
ON-0623,Courtice,Locality,Greater Toronto Area,620,47.9,,DEFERRED_GATE,"unified score 47.9 < 50 — below publish threshold, noindex",
ON-0624,Douro,Locality,Greater Toronto Area,355,48,,DEFERRED_GATE,"unified score 48 < 50 — below publish threshold, noindex",
ON-0625,Dunbarton,Locality,Greater Toronto Area,628,47.1,,DEFERRED_GATE,"unified score 47.1 < 50 — below publish threshold, noindex",
ON-0626,Glenburnie,Locality,Greater Toronto Area,641,47.6,,DEFERRED_GATE,"unified score 47.6 < 50 — below publish threshold, noindex",
ON-0627,Hampton,Locality,Greater Toronto Area,386,47.6,,DEFERRED_GATE,"unified score 47.6 < 50 — below publish threshold, noindex",
ON-0628,Hillsdale,Locality,Greater Toronto Area,814,47.9,,DEFERRED_GATE,"unified score 47.9 < 50 — below publish threshold, noindex",
ON-0629,Kagawong,Locality,Greater Toronto Area,925,47.9,,DEFERRED_GATE,"unified score 47.9 < 50 — below publish threshold, noindex",
ON-0630,Kerwood,Locality,Greater Toronto Area,668,47.7,,DEFERRED_GATE,"unified score 47.7 < 50 — below publish threshold, noindex",
ON-0631,Kettleby,Locality,Greater Toronto Area,326,47.1,,DEFERRED_GATE,"unified score 47.1 < 50 — below publish threshold, noindex",
ON-0632,Kimberley,Locality,Greater Toronto Area,599,47.7,,DEFERRED_GATE,"unified score 47.7 < 50 — below publish threshold, noindex",
ON-0633,Kinloss,Locality,Greater Toronto Area,733,48,,DEFERRED_GATE,"unified score 48 < 50 — below publish threshold, noindex",
ON-0634,Lefaivre,Locality,Greater Toronto Area,703,47.8,,DEFERRED_GATE,"unified score 47.8 < 50 — below publish threshold, noindex",
ON-0635,Milltown,Locality,Greater Toronto Area,440,47.1,,DEFERRED_GATE,"unified score 47.1 < 50 — below publish threshold, noindex",
ON-0636,Mississagi,Locality,Greater Toronto Area,653,48,,DEFERRED_GATE,"unified score 48 < 50 — below publish threshold, noindex",
